дата,время,рейтинг,текст,автор,likes_count,official_answer
2026-03-30,03:45:40,5,"Среди брокеров выбрал Фридом Брокер и пока не пожалел. Платформа работает стабильно, поддержка отвечает быстро.",Вадим Деришев,0,
2026-03-04,19:04:10,5,"Использую Freedom Broker для диверсификации портфеля. Здесь есть всё: акции, ETF, облигации, опционы. Особенно удобно, что можно покупать валюту по биржевому курсу — это экономит на конвертации. За полгода доходность превысила 15%. Ещё нравится, что есть доступ к IPO: успел поучаствовать в размещении двух компаний, и обе показали рост",Венера Гатауллина,0,
2026-01-23,02:37:21,5,"Я думаю самое большое преимущество брокера - это гибкие тарифы. Тут кроме стандартных тарифов можно согласовать специальные условия, конечно будет зависеть от суммы капитала в первую очередь, но в любом случае это говорит о гибкости брокера.",Казбек Есимов,0,
2026-01-21,14:57:10,5,"Я открыл счет через приложение сидя дома, не надо никуда ехать. Плюсов у брокера хватает. Это и тарифы с четкими условиями, и поддержка, котрая быстро помогла с документами для подтверждения личности. Приложение удобное, простое в использовании. Для полных новичков как я, у брокера есть возможность пройти обучение и подключить тариф с низкими комиссиями на первые 3 месяца.",Заир Маканов,0,
2026-01-20,14:54:06,5,"Присмотрелся, сравнил, выбрал Freedom и не пожалел. Норм",Олжас Жумабаев,0,
2026-01-19,19:18:29,5,Брокер арқылы әлемнің ең ірі биржаларына шығу мүмкіндігі бар . Костанайда отырып АҚШ акцияларын сатып аламын,МаРина Maкамбеджан,0,
2025-12-16,21:45:26,5,Персональный менеджер помогает с документами и отвечает на вопросы.,Вадим Островский,0,
2025-12-07,03:03:35,5,"Нравится прозрачность условий, отсутствие скрытых комиссий. Поддержка всегда готова помочь, отвечает оперативно. Платформа удобная, есть всё необходимое для анализа рынка и совершения сделок. Из пожеланий — расширить список доступных для торговли инструментов",Антон Кривко,0,
2025-09-05,13:37:42,5,"Два месяца назад открыл ИИС — пока всё ок. Налоговые вычеты оформили без проблем, документы прислали вовремя. Приложение удобное: портфель видно целиком, доходность по дням/месяцам. Но не хватает интеграции с зарубежными налоговыми сервисами — приходится сводить данные вручную. Комиссии средние, поддержка вежливая, но иногда перебрасывают между операторами — приходится по несколько раз объяснять проблему. Это единственный небольшой косячок, о котором могу сказать. В остальном меня абсолютно все устраивает. Главное, что можно безопасно вкладывать деньги в активы, которые тебе принесут денюжку на будущую пенсию. На государство рассчитывать нельзя.",иван марков,0,
2025-07-19,16:48:49,5,"Очень нравятся еженедельные обзоры рынка от аналитиков Freedom. Они понятны любому человеку. Рекомендации по акциям и ETF помогают. Мобильное приложение удобное: котировки обновляются в реальном времени, есть push-уведомления о важных событиях. За два года сотрудничества не было проблем с зачислением средств или исполнением ордеров",Илья Мартинес,0,
2025-05-14,01:07:41,5,"Отличный выбор для начинающих трейдеров! Прошёл обучение, получил демо-счет для практики. После этого начал работать с реальными деньгами. Комиссии прозрачные, нет скрытых платежей. Техподдержка всегда готова помочь разобраться с возникающими вопросами",Evgeniy Tarasov,0,"{'date_created': '2025-05-14T12:26:20.5639+07:00', 'id': '46749352', 'logo_preview_urls': {}, 'org_name': 'Freedom Broker, инвестиционно-брокерская компания', 'text': '💚 Спасибо за отзыв! Если что, мы на связи!'}"
2021-08-16,12:26:32,5,"Норм брокеры. Работаю с ними с первого IPO. Стоимость портфеля увеличил на 150%. Офлайн редко вопросы решал, в основном через их платформу tradernet.kz",E 1,0,"{'date_created': '2021-08-18T18:32:14.925051+07:00', 'id': '7096802', 'logo_preview_urls': {}, 'org_name': 'Freedom Broker, инвестиционно-брокерская компания', 'text': 'Здравствуйте! Спасибо, рады, что всё получается!'}"
2021-06-10,22:49:46,5,..............................,Мақпал Сейлатқызы,0,
